Sample,Condition,Group
Control-LS22,Control,PDCD10Wild
Control-LS23,Control,PDCD10Wild
Control-LS24,Control,PDCD10Wild
PDCD10-KO-LS28,clone2,PDCD10knockdown
PDCD10-KO-LS29,clone2,PDCD10knockdown
PDCD10-KO-LS30,clone2,PDCD10knockdown
